position,stat,bin_low,bin_high,threshold_observations,mean_probability,observed_rate
RB,rushing_yards,0.9,1.0,850,0.9577877662692984,0.9611764705882353
RB,targets,0.0,0.1,16520,0.017692035426705173,0.013861985472154963
RB,targets,0.1,0.2,2914,0.1487731355331234,0.1300617707618394
RB,targets,0.2,0.3,1730,0.25098611564534407,0.26242774566473986
RB,targets,0.3,0.4,1643,0.34163156692137997,0.3231892878880097
RB,targets,0.4,0.5,1145,0.43934628385730246,0.4585152838427948
RB,targets,0.5,0.6,1061,0.5469813158150182,0.5372290292177191
RB,targets,0.6,0.7,1038,0.6496424890698314,0.6637764932562621
RB,targets,0.7,0.8,979,0.7444185028454691,0.745658835546476
RB,targets,0.8,0.9,967,0.8565192893732372,0.8645294725956567
RB,targets,0.9,1.0,533,0.9398409304818834,0.9549718574108818
RB,total_yards,0.0,0.1,17099,0.01752089016882144,0.020059652611263818
RB,total_yards,0.1,0.2,2188,0.1466637715840556,0.12751371115173674
RB,total_yards,0.2,0.3,1287,0.23873155268504107,0.257964257964258
RB,total_yards,0.3,0.4,1178,0.3556537630648264,0.39643463497453313
RB,total_yards,0.4,0.5,711,0.44851666503123677,0.45147679324894513
RB,total_yards,0.5,0.6,801,0.5413809980049854,0.5855181023720349
RB,total_yards,0.6,0.7,511,0.6431367067374895,0.6457925636007827
RB,total_yards,0.7,0.8,682,0.7486043588819283,0.7844574780058651
RB,total_yards,0.8,0.9,413,0.8423133541946537,0.8789346246973365
RB,total_yards,0.9,1.0,789,0.9304199352391058,0.9378960709759189
TE,receiving_tds,0.0,0.1,9256,0.008009889248457318,0.00432152117545376
TE,receiving_tds,0.1,0.2,2314,0.148176490350517,0.15211754537597233
TE,receiving_yards,0.0,0.1,19338,0.016492754011604716,0.015823766677008997
TE,receiving_yards,0.1,0.2,2496,0.1474092767697419,0.15544871794871795
TE,receiving_yards,0.2,0.3,1497,0.24413278384010548,0.24448897795591182
TE,receiving_yards,0.3,0.4,1088,0.3546878053547,0.36856617647058826
TE,receiving_yards,0.4,0.5,966,0.4397969501248427,0.43788819875776397
TE,receiving_yards,0.5,0.6,676,0.5420639289154495,0.5532544378698225
TE,receiving_yards,0.6,0.7,495,0.6528306319003992,0.6666666666666666
TE,receiving_yards,0.7,0.8,662,0.7441609539199646,0.797583081570997
TE,receiving_yards,0.8,0.9,313,0.8533694925328775,0.8722044728434505
TE,receiving_yards,0.9,1.0,225,0.9181912144702843,0.9288888888888889
TE,receptions,0.0,0.1,13043,0.015729087253686568,0.017403971478954228
TE,receptions,0.1,0.2,2128,0.14625121774536007,0.14191729323308272
TE,receptions,0.2,0.3,1511,0.24700919722698,0.25347452018530775
TE,receptions,0.3,0.4,893,0.33710513294617045,0.3617021276595745
