position,stat,threshold,games,brier,frequency_brier,mean_probability,observed_rate,eligible_test_games,evaluated_games
TE,targets,8,2314,0.06831852955196709,0.08181538282955866,0.08080957453834381,0.0898876404494382,2314,2314
TE,targets,10,2314,0.03521164492671368,0.03821368563266617,0.03013579052251641,0.03975799481417459,2314,2314
TE,targets,12,2314,0.015630886427603585,0.016190995485637467,0.008707649810341214,0.016421780466724288,2314,2314
TE,targets,15,2314,0.002125270606042391,0.0021567028303042623,0.003320823414891876,0.00216076058772688,2314,2314
WR,carries,1,4539,0.09387391845186736,0.11194612785562699,0.11412900671112448,0.12822207534699273,4539,4539
WR,carries,3,4539,0.00791065327754208,0.008317384354453356,0.007573711480934156,0.008371888081075127,4539,4539
WR,carries,5,4539,0.0008747071120789757,0.0008814858858211627,0.002294986455517666,0.0008812513769552765,4539,4539
WR,carries,10,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,carries,15,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,carries,20,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,carries,25,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,carries,30,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,receiving_tds,1,4535,0.1437762356670859,0.15031303229960036,0.18697286150171974,0.18412348401323042,4539,4535
WR,receiving_tds,2,4535,0.024610824662510022,0.024732582280095,0.024831964015574692,0.025358324145534728,4539,4535
WR,receiving_tds,3,4535,0.0020124579819530996,0.0019809488018641195,0.006610453211822407,0.001984564498346196,4539,4535
WR,receiving_tds,4,4535,2.7593514420370637e-06,1.231828982718671e-08,0.0016611295681063125,0.0,4539,4535
WR,receiving_tds,5,4535,2.7593514420370637e-06,1.231828982718671e-08,0.0016611295681063125,0.0,4539,4535
WR,receiving_yards,10,4538,0.16331353335917745,0.22399819702039847,0.661911448396633,0.6621859850154252,4539,4538
WR,receiving_yards,25,4538,0.18147018259425043,0.24959023893480584,0.46854542446289654,0.4773027765535478,4539,4538
WR,receiving_yards,40,4538,0.17050674544316277,0.22419484298526077,0.34395558217137234,0.3378140149845747,4539,4538
WR,receiving_yards,50,4538,0.15223523714021955,0.19486640152621842,0.2701608711376358,0.26443367122080214,4539,4538
WR,receiving_yards,60,4538,0.13144261315878933,0.16170393923202722,0.20556643127286892,0.20251211987659762,4539,4538
WR,receiving_yards,75,4538,0.09880416761934624,0.11539222993733042,0.13774270867345373,0.13287791978845306,4539,4538
WR,receiving_yards,90,4538,0.07072713796823854,0.07863928896368547,0.08894473980517417,0.08594094314676069,4539,4538
WR,receiving_yards,100,4538,0.053147765971915395,0.05702466997693226,0.06561132350077382,0.060599382988100484,4539,4538
WR,receiving_yards,125,4538,0.02141878515579736,0.0220363712203318,0.028358534574775725,0.02247686205376818,4539,4538
WR,receiving_yards,150,4538,0.007332073496241388,0.0074797547318722025,0.014190980849789666,0.00749228735125606,4539,4538
WR,receiving_yards,175,4538,0.003092785438391918,0.0030800846294633095,0.006184028850504196,0.003085059497576025,4539,4538
WR,receiving_yards,200,4538,0.0006668132678023078,0.0006616546250787094,0.0031868210709417263,0.0006610841780520053,4539,4538
WR,receptions,1,4538,0.12154120890842302,0.17554888139561786,0.7798597008063324,0.7739092111062142,4539,4538
WR,receptions,2,4538,0.16167570200831508,0.24307800399484908,0.5786521789422361,0.5848391361833407,4539,4538
WR,receptions,3,4538,0.16573164946528246,0.24569300348103418,0.42605520894799037,0.43256941383869546,4539,4538
WR,receptions,4,4538,0.1476188433938006,0.2128274860442856,0.3071574258860944,0.30608197443807844,4539,4538
WR,receptions,5,4538,0.12121623051831604,0.1650282174424455,0.2092327763046346,0.20802115469369767,4539,4538
WR,receptions,6,4538,0.09367975161254721,0.11724343319501981,0.1386007271193861,0.13530189510797708,4539,4538
WR,receptions,8,4538,0.043347877640886,0.04818613967320991,0.05266417655852608,0.050683120317320404,4539,4538
WR,receptions,10,4538,0.013873825689222874,0.014572267855610704,0.01764062497712195,0.014764213309828118,4539,4538
WR,receptions,12,4538,0.004319518420425722,0.0043923882992883126,0.006588878851016664,0.004407227853680035,4539,4538
WR,receptions,15,4538,0.00044192551722176056,0.0004405415941282581,0.001961289604652627,0.00044072278536800354,4539,4538
WR,rushing_yards,10,4539,0.032186253977894784,0.03354001010754895,0.032900173395723584,0.034589116545494604,4539,4539
WR,rushing_yards,25,4539,0.005058951406718339,0.0050849012290225355,0.00920007407195959,0.00506719541749284,4539,4539
WR,rushing_yards,40,4539,0.0004766407264773302,0.00045387052592504737,0.00443224062554209,0.0004406256884776382,4539,4539
WR,rushing_yards,50,4539,0.0002336962154651786,0.00022304146077533338,0.0027348802076357067,0.0002203128442388191,4539,4539
WR,rushing_yards,60,4539,0.00022452390998876196,0.00022037628112463333,0.0019897689935655474,0.0002203128442388191,4539,4539
WR,rushing_yards,75,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,rushing_yards,90,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,rushing_yards,100,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,rushing_yards,125,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,rushing_yards,150,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,rushing_yards,175,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,rushing_yards,200,4539,2.759351442037064e-06,1.2318289827186712e-08,0.0016611295681063125,0.0,4539,4539
WR,targets,1,4538,0.072373520997964,0.1212518063986191,0.8687854060726036,0.8598501542529748,4539,4538
WR,targets,2,4538,0.12415889823905416,0.2053273752706121,0.7146839754073757,0.7128691053327457,4539,4538
WR,targets,3,4538,0.14715545233567826,0.23962700212431431,0.5932926677491951,0.6029087703834288,4539,4538
WR,targets,4,4538,0.15629014360783727,0.25061505532728917,0.4960151924904351,0.495152049360952,4539,4538
WR,targets,5,4538,0.14988470264642698,0.23949454746807627,0.3979492480625036,0.39378580872631114,4539,4538
WR,targets,6,4538,0.14094705022752696,0.21611754644516035,0.3154220762582196,0.3146760687527545,4539,4538
